Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,dc,A,baseline,1.0,4,80.81
compact,ua,A,baseline,2.0,16,4.94
compact,sp,A,baseline,2.0,12,5.13
compact,ft,A,baseline,2.0,16,0.46
compact,dc,A,baseline,3.0,1,173.3
scatter,ft,A,baseline,1.0,8,0.47
compact,ft,A,baseline,3.0,1,2.56
compact,ua,A,baseline,1.0,16,4.94
scatter,is,A,baseline,2.0,6,0.1
compact,lu,A,baseline,3.0,6,8.23
scatter,ft,A,baseline,1.0,6,0.57
compact,mg,A,baseline,2.0,8,0.31
compact,sp,A,baseline,3.0,4,11.07
scatter,bt,A,baseline,3.0,6,9.84
scatter,sp,A,baseline,2.0,1,24.26
compact,sp,A,baseline,1.0,6,7.98
compact,cg,A,baseline,2.0,12,0.16
compact,ft,A,baseline,1.0,14,0.5
compact,dc,A,baseline,3.0,12,47.43
scatter,dc,A,baseline,1.0,2,101.42
compact,mg,A,baseline,3.0,1,0.93
compact,ep,A,baseline,1.0,16,1.16
compact,ep,A,baseline,3.0,4,3.64
scatter,ft,A,baseline,3.0,4,0.72
scatter,ft,A,baseline,2.0,4,0.72
compact,dc,A,baseline,2.0,6,72.15
scatter,ep,A,baseline,3.0,4,3.24
compact,ft,A,baseline,2.0,10,0.66
compact,is,A,baseline,3.0,12,0.08
scatter,ua,A,baseline,1.0,1,31.31
compact,is,A,baseline,2.0,4,0.2
scatter,cg,A,baseline,1.0,1,1.01
scatter,ft,A,baseline,3.0,2,1.31
scatter,mg,A,baseline,3.0,4,0.29
compact,ua,A,baseline,3.0,4,13.89
compact,mg,A,baseline,2.0,4,0.46
compact,sp,A,baseline,2.0,14,4.58
compact,dc,A,baseline,2.0,16,48.89
compact,ft,A,baseline,3.0,16,0.46
compact,bt,A,baseline,3.0,6,15.65
compact,ua,A,baseline,3.0,10,7.35
compact,is,A,baseline,1.0,1,0.34
compact,cg,A,baseline,1.0,6,0.26
scatter,lu,A,baseline,3.0,6,6.11
scatter,dc,A,baseline,3.0,1,173.01
compact,lu,A,baseline,3.0,16,4.03
scatter,dc,A,baseline,2.0,2,99.76
scatter,lu,A,baseline,3.0,2,13.43
scatter,cg,A,baseline,3.0,4,0.28
scatter,ua,A,baseline,1.0,6,7.39
compact,is,A,baseline,3.0,4,0.2
compact,bt,A,baseline,3.0,4,21.8
scatter,ep,A,baseline,3.0,6,2.52
compact,dc,A,baseline,2.0,4,80.31
compact,ft,A,baseline,3.0,8,0.68
compact,cg,A,baseline,2.0,10,0.18
compact,ua,A,baseline,2.0,14,5.49
scatter,is,A,baseline,1.0,2,0.24
compact,ep,A,baseline,3.0,12,1.53
compact,sp,A,baseline,3.0,8,6.31
scatter,bt,A,baseline,1.0,1,47.09
compact,bt,A,baseline,3.0,8,11.88
scatter,cg,A,baseline,3.0,2,0.54
scatter,ft,A,baseline,1.0,4,0.72
scatter,cg,A,baseline,1.0,6,0.22
compact,bt,A,baseline,2.0,1,46.84
compact,lu,A,baseline,2.0,4,11.09
compact,sp,A,baseline,2.0,16,4.17
compact,ft,A,baseline,1.0,12,0.57
compact,bt,A,baseline,2.0,14,8.03
compact,dc,A,baseline,3.0,6,74.32
scatter,cg,A,baseline,1.0,8,0.17
compact,bt,A,baseline,3.0,1,46.91
compact,bt,A,baseline,1.0,4,21.81
compact,lu,A,baseline,1.0,12,5.33
compact,dc,A,baseline,1.0,1,172.28
compact,ft,A,baseline,3.0,12,0.57
compact,cg,A,baseline,3.0,16,0.13
compact,lu,A,baseline,1.0,14,4.63
scatter,sp,A,baseline,1.0,6,5.4
compact,ua,A,baseline,3.0,8,7.88
scatter,ep,A,baseline,3.0,8,1.9
compact,ft,A,baseline,2.0,8,0.7
scatter,sp,A,baseline,1.0,2,12.49
compact,lu,A,baseline,2.0,14,4.61
compact,mg,A,baseline,2.0,16,0.25
scatter,ua,A,baseline,1.0,4,9.33
scatter,ep,A,baseline,2.0,8,1.89
compact,mg,A,baseline,2.0,10,0.29
compact,is,A,baseline,3.0,2,0.31
compact,lu,A,baseline,1.0,1,26.2
compact,ua,A,baseline,1.0,4,13.92
scatter,cg,A,baseline,2.0,8,0.17
compact,cg,A,baseline,2.0,6,0.26
scatter,lu,A,baseline,1.0,6,6.1
compact,mg,A,baseline,1.0,14,0.25
scatter,sp,A,baseline,3.0,1,24.4
scatter,mg,A,baseline,2.0,6,0.25
compact,bt,A,baseline,3.0,14,8.01
compact,lu,A,baseline,2.0,16,4.0
compact,bt,A,baseline,1.0,6,15.63
scatter,cg,A,baseline,3.0,1,1.01
compact,ep,A,baseline,3.0,8,1.97
compact,ep,A,baseline,3.0,1,12.1
compact,dc,A,baseline,2.0,10,83.98
compact,mg,A,baseline,3.0,4,0.46
scatter,bt,A,baseline,3.0,2,23.59
compact,cg,A,baseline,1.0,16,0.13
compact,lu,A,baseline,2.0,10,6.15
compact,dc,A,baseline,3.0,2,142.12
scatter,cg,A,baseline,3.0,6,0.22
scatter,dc,A,baseline,1.0,6,56.82
scatter,bt,A,baseline,2.0,4,12.77
compact,ep,A,baseline,1.0,14,1.32
scatter,mg,A,baseline,3.0,8,0.24
compact,mg,A,baseline,3.0,8,0.31
compact,mg,A,baseline,1.0,10,0.29
compact,dc,A,baseline,1.0,16,49.64
compact,ft,A,baseline,3.0,2,2.4
compact,mg,A,baseline,3.0,2,0.84
compact,is,A,baseline,2.0,8,0.1
scatter,is,A,baseline,1.0,1,0.34
scatter,bt,A,baseline,3.0,4,12.69
scatter,is,A,baseline,2.0,1,0.34
compact,ft,A,baseline,2.0,4,1.23
compact,ft,A,baseline,2.0,12,0.57
compact,is,A,baseline,3.0,1,0.34
compact,bt,A,baseline,3.0,12,9.28
compact,ep,A,baseline,1.0,10,1.86
compact,lu,A,baseline,1.0,10,6.17
compact,sp,A,baseline,3.0,10,5.93
compact,sp,A,baseline,3.0,6,7.98
scatter,ua,A,baseline,3.0,1,31.26
compact,ua,A,baseline,1.0,1,31.27
scatter,sp,A,baseline,2.0,8,4.45
scatter,cg,A,baseline,2.0,2,0.54
scatter,ua,A,baseline,3.0,4,9.34
compact,bt,A,baseline,1.0,14,8.03
scatter,ep,A,baseline,1.0,2,6.05
compact,ft,A,baseline,1.0,4,1.23
scatter,ep,A,baseline,1.0,6,2.52
scatter,bt,A,baseline,2.0,2,23.55
compact,sp,A,baseline,2.0,1,24.19
scatter,is,A,baseline,2.0,8,0.08
compact,ep,A,baseline,1.0,12,1.56
scatter,sp,A,baseline,2.0,4,6.84
compact,is,A,baseline,3.0,6,0.14
compact,ua,A,baseline,2.0,2,26.02
compact,is,A,baseline,1.0,12,0.08
compact,is,A,baseline,3.0,10,0.1
scatter,ft,A,baseline,1.0,2,1.31
compact,dc,A,baseline,3.0,14,48.06
compact,sp,A,baseline,3.0,2,21.18
compact,dc,A,baseline,1.0,14,47.43
scatter,cg,A,baseline,2.0,6,0.22
scatter,ft,A,baseline,3.0,6,0.57
scatter,cg,A,baseline,2.0,1,1.01
compact,ua,A,baseline,3.0,2,26.04
compact,dc,A,baseline,1.0,8,73.18
compact,lu,A,baseline,3.0,8,6.24
scatter,bt,A,baseline,1.0,4,12.68
compact,ft,A,baseline,3.0,4,1.24
compact,bt,A,baseline,1.0,1,46.84
scatter,ep,A,baseline,1.0,1,12.02
scatter,dc,A,baseline,2.0,6,56.6
scatter,dc,A,baseline,2.0,4,62.61
compact,bt,A,baseline,1.0,8,11.88
compact,dc,A,baseline,2.0,8,76.48
compact,ua,A,baseline,3.0,16,4.92
scatter,ua,A,baseline,2.0,6,7.4
