Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
scatter,is,C,baseline,2.0,4.0,1.9
scatter,lu,C,baseline,2.0,6.0,132.52
scatter,ua,C,baseline,2.0,16.0,187.78
scatter,sp,C,baseline,3.0,10.0,222.88
scatter,ep,C,baseline,2.0,2.0,96.7
scatter,ua,C,baseline,3.0,14.0,191.91
scatter,ep,C,baseline,2.0,14.0,20.98
scatter,ep,C,baseline,1.0,16.0,18.36
scatter,cg,C,baseline,3.0,1.0,214.66
scatter,ft,C,baseline,2.0,2.0,85.27
scatter,mg,C,baseline,2.0,12.0,31.94
scatter,bt,C,baseline,1.0,10.0,216.21
scatter,bt,C,baseline,2.0,14.0,180.06
scatter,ft,C,baseline,1.0,10.0,46.76
scatter,is,C,baseline,1.0,2.0,2.96
scatter,mg,C,baseline,3.0,8.0,31.13
scatter,bt,C,baseline,1.0,2.0,434.12
scatter,sp,C,baseline,2.0,1.0,484.85
scatter,ua,C,baseline,3.0,12.0,200.22
scatter,mg,C,baseline,2.0,1.0,38.55
scatter,ua,C,baseline,1.0,2.0,329.62
scatter,cg,C,baseline,3.0,16.0,48.75
scatter,mg,C,baseline,3.0,4.0,32.88
scatter,cg,C,baseline,2.0,10.0,60.03
scatter,dc,B,baseline,3.0,16.0,358.43
scatter,sp,C,baseline,3.0,1.0,484.79
scatter,ep,C,baseline,3.0,6.0,40.34
scatter,dc,B,baseline,1.0,2.0,295.52
scatter,dc,B,baseline,2.0,6.0,235.51
scatter,ep,C,baseline,3.0,16.0,18.37
scatter,dc,B,baseline,1.0,16.0,327.73
scatter,cg,C,baseline,2.0,14.0,50.27
scatter,bt,C,baseline,3.0,10.0,216.45
scatter,ua,C,baseline,1.0,8.0,195.57
scatter,bt,C,baseline,1.0,4.0,257.41
scatter,sp,C,baseline,3.0,6.0,226.5
scatter,ua,C,baseline,2.0,10.0,215.41
scatter,is,C,baseline,3.0,2.0,2.96
scatter,cg,C,baseline,1.0,12.0,53.9
scatter,sp,C,baseline,2.0,4.0,238.79
scatter,ft,C,baseline,3.0,14.0,43.92
scatter,is,C,baseline,3.0,12.0,1.68
scatter,mg,C,baseline,1.0,14.0,31.02
scatter,mg,C,baseline,2.0,6.0,33.2
scatter,dc,B,baseline,1.0,10.0,248.35
scatter,bt,C,baseline,3.0,12.0,192.94
scatter,lu,C,baseline,2.0,14.0,109.02
scatter,lu,C,baseline,2.0,2.0,248.5
scatter,ft,C,baseline,2.0,16.0,45.2
scatter,ua,C,baseline,2.0,8.0,195.5
scatter,ep,C,baseline,3.0,4.0,51.84
scatter,mg,C,baseline,2.0,8.0,30.97
scatter,lu,C,baseline,3.0,1.0,461.63
scatter,dc,B,baseline,2.0,12.0,219.93
scatter,mg,C,baseline,1.0,8.0,30.96
scatter,mg,C,baseline,3.0,2.0,31.95
scatter,bt,C,baseline,1.0,8.0,174.44
scatter,sp,C,baseline,3.0,14.0,210.17
scatter,ep,C,baseline,1.0,10.0,28.15
scatter,mg,C,baseline,3.0,6.0,32.99
scatter,lu,C,baseline,2.0,1.0,461.52
scatter,dc,B,baseline,3.0,6.0,247.26
scatter,mg,C,baseline,1.0,1.0,38.53
scatter,sp,C,baseline,2.0,10.0,222.74
scatter,dc,B,baseline,1.0,8.0,224.71
scatter,is,C,baseline,3.0,8.0,1.66
scatter,mg,C,baseline,3.0,1.0,38.51
scatter,sp,C,baseline,3.0,12.0,214.53
scatter,ep,C,baseline,2.0,6.0,40.29
scatter,ua,C,baseline,1.0,12.0,200.01
scatter,ft,C,baseline,3.0,2.0,85.68
scatter,sp,C,baseline,1.0,1.0,485.04
scatter,ep,C,baseline,3.0,12.0,23.94
scatter,is,C,baseline,1.0,1.0,5.38
scatter,cg,C,baseline,3.0,6.0,53.59
scatter,dc,B,baseline,2.0,8.0,220.01
scatter,ua,C,baseline,1.0,1.0,556.66
scatter,ep,C,baseline,3.0,10.0,28.36
scatter,sp,C,baseline,2.0,8.0,213.09
scatter,mg,C,baseline,2.0,14.0,31.08
scatter,lu,C,baseline,1.0,4.0,153.99
scatter,dc,B,baseline,1.0,6.0,236.2
scatter,ep,C,baseline,1.0,8.0,30.34
scatter,bt,C,baseline,1.0,14.0,179.57
scatter,dc,B,baseline,3.0,1.0,511.9
scatter,ua,C,baseline,2.0,14.0,192.26
scatter,ua,C,baseline,1.0,14.0,192.56
scatter,cg,C,baseline,2.0,6.0,54.77
scatter,ua,C,baseline,2.0,2.0,329.47
scatter,cg,C,baseline,3.0,4.0,65.71
scatter,ft,C,baseline,1.0,12.0,42.85
scatter,ep,C,baseline,2.0,8.0,30.23
scatter,mg,C,baseline,3.0,12.0,31.89
scatter,ep,C,baseline,1.0,12.0,23.73
scatter,ft,C,baseline,2.0,14.0,43.96
scatter,is,C,baseline,2.0,2.0,2.96
scatter,sp,C,baseline,1.0,4.0,238.92
scatter,is,C,baseline,3.0,6.0,1.67
scatter,ft,C,baseline,2.0,1.0,153.52
scatter,bt,C,baseline,2.0,12.0,193.08
scatter,sp,C,baseline,1.0,2.0,308.2
scatter,dc,B,baseline,1.0,1.0,531.82
scatter,lu,C,baseline,2.0,12.0,117.65
scatter,dc,B,baseline,3.0,8.0,221.14
scatter,sp,C,baseline,3.0,4.0,238.67
scatter,sp,C,baseline,2.0,16.0,208.76
