Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,ep,A,baseline,2.0,6,5.04
scatter,lu,A,baseline,2.0,1,29.44
compact,ep,A,baseline,1.0,6,5.05
scatter,sp,A,baseline,3.0,8,5.94
compact,is,A,baseline,1.0,6,0.12
scatter,ep,A,baseline,1.0,4,6.48
compact,mg,A,baseline,2.0,6,0.38
compact,cg,A,baseline,3.0,10,0.19
compact,cg,A,baseline,2.0,16,0.13
compact,mg,A,baseline,2.0,12,0.27
compact,sp,A,baseline,2.0,12,7.92
compact,ft,A,baseline,2.0,16,0.42
scatter,ft,A,baseline,1.0,8,0.49
compact,ft,A,baseline,3.0,1,2.73
scatter,is,A,baseline,2.0,6,0.08
compact,lu,A,baseline,3.0,6,9.46
scatter,ft,A,baseline,1.0,6,0.62
compact,mg,A,baseline,2.0,8,0.32
compact,sp,A,baseline,3.0,4,16.47
scatter,bt,A,baseline,3.0,6,17.93
scatter,sp,A,baseline,2.0,1,31.19
compact,sp,A,baseline,1.0,6,11.92
compact,cg,A,baseline,2.0,12,0.16
compact,ft,A,baseline,1.0,14,0.47
compact,mg,A,baseline,3.0,1,1.08
compact,ep,A,baseline,1.0,16,2.17
compact,ep,A,baseline,3.0,4,6.79
scatter,ft,A,baseline,3.0,4,0.77
scatter,ft,A,baseline,2.0,4,0.77
scatter,ep,A,baseline,3.0,4,6.48
compact,ft,A,baseline,2.0,10,0.59
compact,is,A,baseline,3.0,12,0.07
compact,is,A,baseline,2.0,4,0.17
scatter,cg,A,baseline,1.0,1,1.03
scatter,ft,A,baseline,3.0,2,1.39
scatter,mg,A,baseline,3.0,4,0.32
compact,mg,A,baseline,2.0,4,0.5
compact,sp,A,baseline,2.0,14,7.15
compact,ft,A,baseline,3.0,16,0.42
compact,bt,A,baseline,3.0,6,28.53
compact,is,A,baseline,1.0,1,0.36
compact,cg,A,baseline,1.0,6,0.27
scatter,lu,A,baseline,3.0,6,6.64
compact,lu,A,baseline,3.0,16,4.68
scatter,lu,A,baseline,3.0,2,15.11
scatter,cg,A,baseline,3.0,4,0.29
compact,is,A,baseline,3.0,4,0.17
compact,bt,A,baseline,3.0,4,38.98
scatter,ep,A,baseline,3.0,6,5.06
compact,ft,A,baseline,3.0,8,0.64
compact,cg,A,baseline,2.0,10,0.19
scatter,is,A,baseline,1.0,2,0.19
compact,ep,A,baseline,3.0,12,2.89
compact,sp,A,baseline,3.0,8,9.3
scatter,bt,A,baseline,1.0,1,81.27
compact,bt,A,baseline,3.0,8,21.42
scatter,cg,A,baseline,3.0,2,0.55
scatter,ft,A,baseline,1.0,4,0.76
scatter,cg,A,baseline,1.0,6,0.23
compact,bt,A,baseline,2.0,1,80.29
compact,lu,A,baseline,2.0,4,12.92
compact,sp,A,baseline,2.0,16,6.23
compact,ft,A,baseline,1.0,12,0.51
compact,bt,A,baseline,2.0,14,15.77
scatter,cg,A,baseline,1.0,8,0.18
compact,bt,A,baseline,3.0,1,80.27
compact,bt,A,baseline,1.0,4,39.6
compact,lu,A,baseline,1.0,12,6.22
compact,ft,A,baseline,3.0,12,0.51
compact,cg,A,baseline,3.0,16,0.14
compact,lu,A,baseline,1.0,14,5.48
scatter,sp,A,baseline,1.0,6,7.45
scatter,ep,A,baseline,3.0,8,3.79
compact,ft,A,baseline,2.0,8,0.64
scatter,sp,A,baseline,1.0,2,16.0
compact,lu,A,baseline,2.0,14,5.45
compact,mg,A,baseline,2.0,16,0.25
scatter,ep,A,baseline,2.0,8,3.79
compact,mg,A,baseline,2.0,10,0.3
compact,is,A,baseline,3.0,2,0.33
compact,lu,A,baseline,1.0,1,29.46
scatter,cg,A,baseline,2.0,8,0.18
compact,cg,A,baseline,2.0,6,0.27
scatter,lu,A,baseline,1.0,6,6.63
compact,mg,A,baseline,1.0,14,0.27
scatter,sp,A,baseline,3.0,1,31.18
scatter,mg,A,baseline,2.0,6,0.27
compact,bt,A,baseline,3.0,14,15.73
compact,lu,A,baseline,2.0,16,4.7
compact,bt,A,baseline,1.0,6,28.54
scatter,cg,A,baseline,3.0,1,1.04
compact,ep,A,baseline,3.0,8,3.78
compact,ep,A,baseline,3.0,1,24.23
compact,mg,A,baseline,3.0,4,0.51
scatter,bt,A,baseline,3.0,2,40.31
compact,cg,A,baseline,1.0,16,0.13
compact,lu,A,baseline,2.0,10,7.11
scatter,cg,A,baseline,3.0,6,0.23
scatter,bt,A,baseline,2.0,4,22.34
compact,ep,A,baseline,1.0,14,2.49
scatter,mg,A,baseline,3.0,8,0.25
compact,mg,A,baseline,3.0,8,0.32
compact,mg,A,baseline,1.0,10,0.3
compact,ft,A,baseline,3.0,2,2.21
compact,mg,A,baseline,3.0,2,0.96
compact,is,A,baseline,2.0,8,0.09
scatter,is,A,baseline,1.0,1,0.36
scatter,bt,A,baseline,3.0,4,22.39
scatter,is,A,baseline,2.0,1,0.36
compact,ft,A,baseline,2.0,4,1.14
compact,ft,A,baseline,2.0,12,0.52
compact,is,A,baseline,3.0,1,0.36
compact,bt,A,baseline,3.0,12,17.93
compact,ep,A,baseline,1.0,10,3.51
compact,lu,A,baseline,1.0,10,7.1
compact,sp,A,baseline,3.0,10,9.07
compact,sp,A,baseline,3.0,6,12.24
scatter,sp,A,baseline,2.0,8,5.97
scatter,cg,A,baseline,2.0,2,0.55
compact,bt,A,baseline,1.0,14,15.76
scatter,ep,A,baseline,1.0,2,12.08
compact,ft,A,baseline,1.0,4,1.14
scatter,ep,A,baseline,1.0,6,5.05
scatter,bt,A,baseline,2.0,2,40.55
compact,sp,A,baseline,2.0,1,31.39
scatter,is,A,baseline,2.0,8,0.06
compact,ep,A,baseline,1.0,12,2.92
scatter,sp,A,baseline,2.0,4,9.12
compact,is,A,baseline,3.0,6,0.12
compact,is,A,baseline,1.0,12,0.07
compact,is,A,baseline,3.0,10,0.08
scatter,ft,A,baseline,1.0,2,1.39
compact,sp,A,baseline,3.0,2,30.8
scatter,cg,A,baseline,2.0,6,0.23
scatter,ft,A,baseline,3.0,6,0.61
scatter,cg,A,baseline,2.0,1,1.04
compact,lu,A,baseline,3.0,8,7.09
scatter,bt,A,baseline,1.0,4,22.39
compact,ft,A,baseline,3.0,4,1.14
compact,bt,A,baseline,1.0,1,80.44
scatter,ep,A,baseline,1.0,1,24.17
compact,bt,A,baseline,1.0,8,21.41
