Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,ft,A,r12_r13_r14_to_temp,1.0,6,0.84
scatter,lu,A,r12_r13_r14_to_temp,2.0,4,8.23
compact,sp,A,r12_r13_r14_to_temp,2.0,2,31.12
compact,ft,A,r12_r13_r14_to_temp,1.0,8,0.64
scatter,ft,A,r12_r13_r14_to_temp,2.0,1,2.71
compact,bt,A,r12_r13_r14_to_temp,3.0,2,82.52
scatter,bt,A,r12_r13_r14_to_temp,1.0,8,14.23
compact,lu,A,r12_r13_r14_to_temp,3.0,14,5.48
compact,is,A,r12_r13_r14_to_temp,2.0,6,0.12
scatter,ep,A,r12_r13_r14_to_temp,3.0,2,12.05
compact,bt,A,r12_r13_r14_to_temp,1.0,12,19.38
compact,ft,A,r12_r13_r14_to_temp,3.0,10,0.59
compact,is,A,r12_r13_r14_to_temp,1.0,4,0.16
scatter,lu,A,r12_r13_r14_to_temp,1.0,1,29.47
scatter,mg,A,r12_r13_r14_to_temp,3.0,1,1.07
scatter,cg,A,r12_r13_r14_to_temp,1.0,4,0.29
compact,ep,A,r12_r13_r14_to_temp,1.0,1,24.03
scatter,cg,A,r12_r13_r14_to_temp,3.0,8,0.18
scatter,mg,A,r12_r13_r14_to_temp,2.0,8,0.24
compact,sp,A,r12_r13_r14_to_temp,3.0,1,31.54
compact,bt,A,r12_r13_r14_to_temp,3.0,10,22.67
compact,lu,A,r12_r13_r14_to_temp,3.0,10,7.13
compact,mg,A,r12_r13_r14_to_temp,1.0,12,0.27
scatter,sp,A,r12_r13_r14_to_temp,2.0,2,16.15
compact,sp,A,r12_r13_r14_to_temp,3.0,14,7.07
scatter,lu,A,r12_r13_r14_to_temp,1.0,2,15.15
compact,mg,A,r12_r13_r14_to_temp,1.0,16,0.25
compact,sp,A,r12_r13_r14_to_temp,2.0,4,16.51
compact,mg,A,r12_r13_r14_to_temp,1.0,8,0.32
scatter,sp,A,r12_r13_r14_to_temp,1.0,1,31.55
compact,ep,A,r12_r13_r14_to_temp,3.0,6,4.84
compact,mg,A,r12_r13_r14_to_temp,1.0,1,1.08
scatter,lu,A,r12_r13_r14_to_temp,2.0,8,5.1
compact,bt,A,r12_r13_r14_to_temp,2.0,2,82.51
compact,cg,A,r12_r13_r14_to_temp,1.0,1,1.03
compact,sp,A,r12_r13_r14_to_temp,2.0,10,9.14
compact,lu,A,r12_r13_r14_to_temp,2.0,1,29.48
compact,is,A,r12_r13_r14_to_temp,2.0,10,0.08
compact,is,A,r12_r13_r14_to_temp,2.0,14,0.06
compact,bt,A,r12_r13_r14_to_temp,2.0,4,42.1
scatter,ep,A,r12_r13_r14_to_temp,3.0,1,24.05
scatter,ft,A,r12_r13_r14_to_temp,3.0,1,2.72
scatter,bt,A,r12_r13_r14_to_temp,3.0,1,86.77
scatter,mg,A,r12_r13_r14_to_temp,3.0,6,0.27
scatter,ft,A,r12_r13_r14_to_temp,2.0,6,0.61
compact,sp,A,r12_r13_r14_to_temp,2.0,8,9.46
compact,mg,A,r12_r13_r14_to_temp,3.0,14,0.26
compact,mg,A,r12_r13_r14_to_temp,2.0,2,0.96
scatter,is,A,r12_r13_r14_to_temp,3.0,2,0.19
scatter,mg,A,r12_r13_r14_to_temp,2.0,4,0.32
scatter,is,A,r12_r13_r14_to_temp,1.0,6,0.08
compact,is,A,r12_r13_r14_to_temp,1.0,2,0.32
scatter,lu,A,r12_r13_r14_to_temp,3.0,8,5.02
compact,ft,A,r12_r13_r14_to_temp,3.0,6,0.84
scatter,cg,A,r12_r13_r14_to_temp,2.0,4,0.29
compact,ep,A,r12_r13_r14_to_temp,2.0,2,13.48
scatter,is,A,r12_r13_r14_to_temp,3.0,1,0.36
compact,bt,A,r12_r13_r14_to_temp,1.0,16,13.85
compact,sp,A,r12_r13_r14_to_temp,3.0,16,6.27
compact,cg,A,r12_r13_r14_to_temp,2.0,1,1.04
compact,bt,A,r12_r13_r14_to_temp,2.0,8,23.14
compact,cg,A,r12_r13_r14_to_temp,1.0,2,0.69
compact,cg,A,r12_r13_r14_to_temp,3.0,1,1.03
scatter,mg,A,r12_r13_r14_to_temp,1.0,4,0.32
compact,sp,A,r12_r13_r14_to_temp,2.0,6,12.19
scatter,bt,A,r12_r13_r14_to_temp,2.0,1,86.79
compact,cg,A,r12_r13_r14_to_temp,3.0,12,0.16
compact,mg,A,r12_r13_r14_to_temp,1.0,6,0.38
compact,sp,A,r12_r13_r14_to_temp,1.0,10,9.03
compact,ep,A,r12_r13_r14_to_temp,2.0,4,6.85
