Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,ft,A,r13_r14_to_temp,3.0,12,0.52
compact,cg,A,r13_r14_to_temp,3.0,16,0.14
compact,lu,A,r13_r14_to_temp,1.0,14,5.57
scatter,sp,A,r13_r14_to_temp,1.0,6,7.58
scatter,ep,A,r13_r14_to_temp,3.0,8,3.79
compact,ft,A,r13_r14_to_temp,2.0,8,0.64
scatter,sp,A,r13_r14_to_temp,1.0,2,16.22
compact,lu,A,r13_r14_to_temp,2.0,14,5.5
compact,mg,A,r13_r14_to_temp,2.0,16,0.25
scatter,ep,A,r13_r14_to_temp,2.0,8,3.79
compact,mg,A,r13_r14_to_temp,2.0,10,0.29
compact,is,A,r13_r14_to_temp,3.0,2,0.32
compact,lu,A,r13_r14_to_temp,1.0,1,29.45
scatter,cg,A,r13_r14_to_temp,2.0,8,0.18
compact,cg,A,r13_r14_to_temp,2.0,6,0.27
scatter,lu,A,r13_r14_to_temp,1.0,6,6.64
compact,mg,A,r13_r14_to_temp,1.0,14,0.26
scatter,sp,A,r13_r14_to_temp,3.0,1,31.67
scatter,mg,A,r13_r14_to_temp,2.0,6,0.27
compact,bt,A,r13_r14_to_temp,3.0,14,16.09
compact,lu,A,r13_r14_to_temp,2.0,16,4.74
compact,bt,A,r13_r14_to_temp,1.0,6,30.67
scatter,cg,A,r13_r14_to_temp,3.0,1,1.04
compact,ep,A,r13_r14_to_temp,3.0,8,3.75
compact,ep,A,r13_r14_to_temp,3.0,1,24.16
compact,mg,A,r13_r14_to_temp,3.0,4,0.5
scatter,bt,A,r13_r14_to_temp,3.0,2,42.99
compact,cg,A,r13_r14_to_temp,1.0,16,0.14
compact,lu,A,r13_r14_to_temp,2.0,10,7.12
scatter,cg,A,r13_r14_to_temp,3.0,6,0.23
scatter,bt,A,r13_r14_to_temp,2.0,4,23.9
compact,ep,A,r13_r14_to_temp,1.0,14,2.5
scatter,mg,A,r13_r14_to_temp,3.0,8,0.24
compact,mg,A,r13_r14_to_temp,3.0,8,0.32
compact,mg,A,r13_r14_to_temp,1.0,10,0.3
compact,ft,A,r13_r14_to_temp,3.0,2,2.21
compact,mg,A,r13_r14_to_temp,3.0,2,0.95
compact,is,A,r13_r14_to_temp,2.0,8,0.09
scatter,is,A,r13_r14_to_temp,1.0,1,0.36
scatter,bt,A,r13_r14_to_temp,3.0,4,23.88
scatter,is,A,r13_r14_to_temp,2.0,1,0.36
compact,ft,A,r13_r14_to_temp,2.0,4,1.13
compact,ft,A,r13_r14_to_temp,2.0,12,0.52
compact,is,A,r13_r14_to_temp,3.0,1,0.36
compact,bt,A,r13_r14_to_temp,3.0,12,19.28
compact,ep,A,r13_r14_to_temp,1.0,10,3.49
compact,lu,A,r13_r14_to_temp,1.0,10,7.18
compact,sp,A,r13_r14_to_temp,3.0,10,9.31
compact,sp,A,r13_r14_to_temp,3.0,6,12.52
scatter,sp,A,r13_r14_to_temp,2.0,8,6.0
scatter,cg,A,r13_r14_to_temp,2.0,2,0.55
compact,bt,A,r13_r14_to_temp,1.0,14,16.99
scatter,ep,A,r13_r14_to_temp,1.0,2,12.08
compact,ft,A,r13_r14_to_temp,1.0,4,1.13
scatter,ep,A,r13_r14_to_temp,1.0,6,5.07
scatter,bt,A,r13_r14_to_temp,2.0,2,43.08
compact,sp,A,r13_r14_to_temp,2.0,1,31.9
scatter,is,A,r13_r14_to_temp,2.0,8,0.06
compact,ep,A,r13_r14_to_temp,1.0,12,3.0
scatter,sp,A,r13_r14_to_temp,2.0,4,9.39
compact,is,A,r13_r14_to_temp,3.0,6,0.12
compact,is,A,r13_r14_to_temp,1.0,12,0.07
compact,is,A,r13_r14_to_temp,3.0,10,0.08
scatter,ft,A,r13_r14_to_temp,1.0,2,1.38
compact,sp,A,r13_r14_to_temp,3.0,2,31.78
scatter,cg,A,r13_r14_to_temp,2.0,6,0.23
scatter,ft,A,r13_r14_to_temp,3.0,6,0.61
scatter,cg,A,r13_r14_to_temp,2.0,1,1.04
compact,lu,A,r13_r14_to_temp,3.0,8,7.19
scatter,bt,A,r13_r14_to_temp,1.0,4,23.85
compact,ft,A,r13_r14_to_temp,3.0,4,1.14
compact,bt,A,r13_r14_to_temp,1.0,1,85.78
scatter,ep,A,r13_r14_to_temp,1.0,1,24.19
compact,bt,A,r13_r14_to_temp,1.0,8,23.05
